Date,Price,Open,High,Low,Vol.,Change %
01/02/2004,210.21318887208471,210.13021089220422,211.50215580158726,207.53080784012332,38.74M,0.00%
01/05/2004,211.26984077597947,208.88251836076344,212.1214093301781,208.6095800571365,36.83M,0.50%
01/06/2004,212.30098953276635,209.33993233374858,213.9218138069286,206.74874368312965,52.29M,0.49%
01/07/2004,213.44363690618664,208.7422127149243,214.54522647274092,208.7422127149243,57.37M,0.54%
01/08/2004,205.04401152257034,205.71617696166095,206.91510847341897,202.12652983626933,101.01M,-3.94%
01/09/2004,198.7598892794495,203.52301870901135,204.28555096902275,198.74382888166238,69.02M,-3.06%
01/12/2004,198.11316107826164,198.10458750682645,200.35294628057352,197.03628182106135,51.22M,-0.33%
01/13/2004,196.55588045395396,199.04716163478525,199.04716163478525,193.36538487746887,68.62M,-0.79%
01/14/2004,197.44427129044075,197.7685725360851,200.2816538937261,194.28652022856994,50.48M,0.45%
01/15/2004,198.9601914874321,199.10953019268766,200.3722879811471,197.37656391833852,36.45M,0.77%
01/16/2004,85.81885295619904,83.36638938466132,86.49472067000191,83.18313037523062,138.81M,-56.87%
01/20/2004,88.05944160473915,88.01590041229885,88.304076137428,86.04086044892294,165.43M,2.61%
01/21/2004,87.84847058567271,88.92325038341622,88.92325038341622,87.81822073563097,114.41M,-0.24%
01/22/2004,87.83799444136201,87.77875951621547,88.4136594746024,87.2466893053058,96.82M,-0.01%
01/23/2004,87.47572340470582,88.74588800727956,89.1034374292428,86.20078897046395,264.48M,-0.41%
01/26/2004,89.71358376308802,87.79626529465355,89.7631901973795,87.72601546529398,135.45M,2.56%
01/27/2004,91.50728266099208,90.9874867042568,93.00212430774849,90.70834919438212,212.16M,2.00%
01/28/2004,89.8734675739301,91.15017348495694,92.04023226686537,89.65988424830316,192.62M,-1.79%
01/29/2004,91.12255663286481,90.0273186900415,91.28677602049918,89.30861609219285,137.52M,1.39%
01/30/2004,88.57099171238579,91.09712472797919,91.24456985000982,88.31842374196619,205.26M,-2.80%
02/02/2004,11.996492936678596,12.12839437953841,12.149578126148386,11.939898778445015,377.53M,-86.46%
02/03/2004,11.812420921829718,11.941068817185363,11.987821147290797,11.785504377491536,399.15M,-1.53%
02/04/2004,11.871767950991384,11.796683276726464,11.908776644360339,11.796683276726464,426.51M,0.50%
02/05/2004,11.995964155538045,11.963690739018642,11.995964155538045,11.891960185670909,346.44M,1.05%
02/06/2004,11.858907658915564,11.97635560801683,12.03040452994956,11.858907658915564,301.99M,-1.14%
02/09/2004,11.706075843183429,11.882324987336794,11.91942149229034,11.6621373137721,453.83M,-1.29%
02/10/2004,11.87220188026768,11.641558207423397,11.891643555649264,11.416523436865573,609.90M,1.42%
02/11/2004,12.05921643163392,11.902152515132334,12.084060786979583,11.82993952220822,419.38M,1.58%
02/12/2004,12.228986886631867,12.273834679490152,12.346033608526593,12.192002721402398,700.66M,1.41%
02/13/2004,12.514367673915109,12.693992348316131,12.693992348316131,12.445420753568296,753.80M,2.33%
02/17/2004,7.526835599766267,7.6165990353119986,7.6211575982585895,7.517846000632395,352.41M,-39.85%
02/18/2004,7.649060339071484,7.620738634228069,7.674126577277224,7.579642197312704,493.73M,1.62%
02/19/2004,7.649950374562495,7.662324079776774,7.706389719425655,7.633205372744981,601.90M,0.01%
02/20/2004,7.53351251677275,7.662536041324987,7.683792072583058,7.5274429838855665,552.16M,-1.52%
02/23/2004,7.52547635056694,7.5488889745230665,7.572661754592719,7.469635657349075,477.13M,-0.11%
02/24/2004,7.5689239156158346,7.508825620165064,7.576088659564552,7.456422588963046,447.88M,0.58%
02/25/2004,7.506698008702401,7.601888396456777,7.601888396456777,7.456576107696164,462.23M,-0.82%
02/26/2004,7.421095576656787,7.4734253749151245,7.493701178592593,7.360301762456877,594.46M,-1.14%
02/27/2004,7.529152817007093,7.413141223274724,7.540131531840224,7.284847029204272,605.89M,1.46%
