timestamp,coin,signal,reasoning,confidence,confluence_tags,trigger_tags,reasoning_categories
2024-01-01T00:00:00+00:00,GOLD,reject,Active-Guardian: Market is in Green Zone. No confluence factors detected for entry. Waiting for 2+ confluence factors to enter.,0.0,,,
2024-01-02T00:00:00+00:00,GOLD,reject,Active-Guardian: Market is in Green Zone. No confluence factors detected for entry. Bearish MACD crossover and low RSI14 suggest caution.,0.0,,,trend_following;mean_reversion
2024-01-03T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. Bearish MACD crossover and low RSI detected. Decisive short entry with tight protection.,0.8,MACD_crossover;RSI_oversold,indicator_crossover,trend_following;mean_reversion
2024-01-04T00:00:00+00:00,GOLD,close,Active-Guardian: Current price 2043.26 is above entry price 2038.535142. Unrealized PnL is -1.1394849103305826. Closing the short position to limit further losses.,0.8,,,risk_management
2024-01-05T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. EMA20/50 alignment and RSI14 oversold detected. Decisive long entry with tight protection.,0.8,EMA_alignment;RSI_oversold,indicator_crossover,mean_reversion
2024-01-08T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. RSI14=10.54 indicates oversold conditions. EMA20 and EMA50 alignment with price below EMA200 suggests a potential mean reversion opportunity.,0.8,RSI_oversold;EMA_alignment;Volatility_stable,support_bounce;mean_reversion,mean_reversion;trend_following
2024-01-10T00:00:00+00:00,GOLD,close,Active-Guardian: Current price 2023.4 is below entry price 2030.070624. Unrealized PnL is -3.280036946335041. Closing the long position to limit further losses.,0.8,,,risk_management
2024-01-11T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. RSI14=21.77 indicates oversold conditions. EMA20 and EMA50 alignment suggests potential reversal. Entry with tight stop loss.,0.8,RSI_oversold;EMA_alignment,support_bounce,mean_reversion
2024-01-12T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. EMA20/50 alignment and RSI14=48.02 detected. Decisive entry with tight protection.,0.82,EMA_alignment;RSI_midline,indicator_alignment;trend_reversal,trend_following;mean_reversion
2024-01-15T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Holding the current long position with a profit target of 2075.0 and stop loss at 2020.0. Current price 2054.49 is above entry price 2050.9735919999994. Unrealized PnL is 1.129161705494306.,0.82,EMA_alignment;RSI_momentum,price_momentum,trend_following
2024-01-16T00:00:00+00:00,GOLD,close,Active-Guardian: Current price 2027.59 is below entry price 2050.9735919999994. Unrealized PnL is -7.508757977828315. Closing the long position to limit further losses.,0.82,,,risk_management
2024-01-17T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. EMA20/50 rejection and RSI oversold detected. Decisive long entry with tight protection.,0.8,EMA_rejection;RSI_oversold,indicator_crossover;support_bounce,trend_following;mean_reversion
2024-01-18T00:00:00+00:00,GOLD,hold,"Active-Guardian: Market is in Green Zone. Holding the long position as the current price 2022.67 is above the entry price 2007.926292 and the trend strength score is -0.15, indicating a potential reversal.",0.8,EMA_alignment;RSI_undervalued;price_rejection,trend_reversal;support_bounce,trend_following;mean_reversion
2024-01-19T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding long position as current price 2029.09 is above entry price 2007.926292 and unrealized PnL is positive. Trend Strength Score is -0.03, indicating a weak trend. EMA20 and EMA50 are above the current price, suggesting a potential bullish reversal.",0.8,EMA_alignment;RSI_momentum;price_above_entry,trend_reversal;mean_reversion,trend_following;mean_reversion
2024-01-22T00:00:00+00:00,GOLD,hold,"Active-Guardian: Market is in Green Zone. Holding the current long position with a profit target of 2060.0 and a stop loss of 1980.0. The current price of 2020.99 is above the entry price of 2007.926292, and the unrealized PnL is 4.612433361364215.",0.8,EMA_alignment;RSI_below_50;price_above_200EMA,trend_following;mean_reversion,trend_following;mean_reversion
2024-01-23T00:00:00+00:00,GOLD,hold,Active-Guardian: Holding long position as current price 2028.69 is above entry price 2007.926292. Unrealized PnL is 7.331090030856898. Continuing to monitor for trend strength and potential exit signals.,0.8,EMA_alignment;RSI_momentum;price_above_ema20,trend_following;mean_reversion,trend_following;mean_reversion
2024-01-24T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in ACTIVE mode. Current long position has unrealized PnL of $1.65. Holding to target profit of $52.64 or until stop loss is hit.,0.8,EMA_alignment;RSI_37,trend_following,trend_following
2024-01-25T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding long position in GOLD as current price 2019.75 is above entry price 2007.926292 and within the profit target range. Volatility Ratio (VR) is 1.45, indicating an ACTIVE market state. Recent trade outcomes suggest being more selective, but the current position's unrealized PnL is positive.",0.8,EMA_alignment;RSI_mean_reversion;price_above_entry,trend_following;mean_reversion,trend_following;mean_reversion
2024-01-26T00:00:00+00:00,GOLD,hold,"Active-Guardian: Market is in Green Zone. Holding long position with tight protection. EMA20 and EMA50 are above the current price, and RSI14 is at 41.20, indicating potential for further upside.",0.8,EMA_alignment;RSI_momentum,trend_following,trend_following;mean_reversion
2024-01-29T00:00:00+00:00,GOLD,hold,Active-Guardian: Current price 2031.75 is above entry price 2007.926292. Holding the long position with a profit target of 2060.0 and a stop loss of 1980.0.,0.8,EMA_alignment;RSI_momentum;price_above_ema20,trend_following;mean_reversion,trend_following;mean_reversion
2024-01-30T00:00:00+00:00,GOLD,hold,"Active-Guardian: Market is in Green Zone. Holding long position with tight protection. EMA20 and EMA50 alignment, RSI at 50.08, and MACD crossover are key confluences.",0.8,EMA_alignment;RSI_middle;MACD_crossover,trend_following,trend_following
2024-01-31T00:00:00+00:00,GOLD,hold,Active-Guardian: Holding the current long position as the market is in the Green Zone and the current price 2037.19 is above the entry price 2007.926292. The EMA alignment and MACD crossover support the long position.,0.8,EMA_alignment;MACD_crossover,trend_following,trend_following
